NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,Suministro de Kit de extraccion de acidos nucleicos,"11.828,96 €","9.776,00 €","Dismed, S.A.",,9 meses,Suministros,
,Suministro de desinfectante para micobacterias,"1.522,66 €","1.258,40 €","Dismed, S.A.",,9 meses,Suministros,
,Suministro de primers y sondas,"1.137,13 €","939,78 €","Dismed, S.A.",,1 mes,Suministros,
,Suministro de llave de ajuste micropipetas Gilson,"163,35 €","135,00 €","Dismed, S.A.",,1 mes,Suministros,
,Suministro de disolventes para la realizacion de las tecnicas de PCR a tiempo real,"1.759,04 €","1.453,75 €","Dismed, S.A.",,1 mes,Suministros,
,Tratamientos selvicolas en el Campin. MUP 365 Sierra de Bufaran,"8.690,00 €","7.900,00 €","Egysa, SA",,5 meses,Obra,
,"Tratamientos selvicolas en el monte en convenio Tras Sarceada. Rodales A, C y D","32.450,00 €","29.500,00 €","Egysa, SA",,3 meses,Obra,
,Alimentos Atenciones Protocolarias,"2.420,00 €","2.000,00 €","El Corte Inglés, S.A.",,1 mes,Suministros,
,Reparacion vehiculo oficial matricula 2424GCS,"461,65 €","381,53 €","Electromecanica Royal, S.L.",,1 Mes,Servicios,
,Marcos de fotos digitales,"1.055,12 €","872,00 €",Electrónica Edimar SA,,Un (1) mes,Suministros,
,Suministro de ropa de trabajo a operarias de limpieza del Servicio de Coordinación de Oficinas Comarcales,"475,65 €","393,10 €","Equipamientos laborales Proa, S.L.",,1 mes,Suministros,
,Suministro gas butano centro de cría del urogallo,"360,00 €","297,52 €",Estaciones de Servicio Alto Nalón S.L.,,hasta el 15 de diciembre de 2024,,
,Reparación urgente de grifo de baño en la oca de Cangas de Onis,"139,15 €","115,00 €",Esteve García Alonso,,2 meses,Servicios,
,"Proyecto de ordenacion del monte Sierras de Vidajeron, Fonterroxa e Iboyo","14.190,00 €","12.900,00 €","Estudio Técnico Moal Muniellos, SL",,6 meses,Servicio,
,Apoyo a la Redaccion del Plan de Ordenacion de los recursos forestales (PORFPA),"17.054,95 €","14.095,00 €","Estudio Técnico Moal Muniellos, SL",,4 meses,Servicio,
,Revisión y manteniento de los extintores de Castropol,"181,50 €","150,00 €",Extintores Principado SL,,Un (1) mes,Servicios,
,Suministro de material hidráulico y de fontanería,"968,00 €","800,00 €",Ferros Alonso SL,,Hasta 31.12.24Suministros,,
,Revisión y mantenimiento de los equipos de protección contra incendios,"879,67 €","727,00 €",Fire Control Protect System SL,,Hasta 31.12.24Servicios,,
,Adq Corona Flores Fallecimiento EP,"330,00 €","300,00 €","Floristerías Ananas, S.L.",,1 día,Suministros,
,Desbroces en montes ordenados. MUP Nº 333 Puerto del Sueve. Concejo de Colunga,"38.379,00 €","34.890,00 €","Fondon Servicios medioambientales, SL",,3 meses,Obra,
,Instalación de caldera de calefacción,"18.984,90 €","15.690,00 €","Fontanería Fanjul, S.L.",,2 meses,Obras,
,Alquil Niemeyer Jornadas Ayudas PAC,"8.360,53 €","6.909,52 €",Fundación Centro Cultural,,3 días,Servicios,
,"Análisis de la afección de la flota pesquera asturiana por la propuesta de actulización futura de los 
ecosistemas","14.338,50 €","11.850,00 €",Fundación Universidad de Oviedo,,Dos (2) mesesServicios,,
,Asistencia técnico-científica para la actualización de diversos parámetros sobre población de anguila,"11.495,00 €","9.500,00 €",Fundación Universidad de Oviedo,,Tres (3) mesesServicios,,
,Cambio de acite y filtros del vehículo 8826-LCZ,"485,92 €","401,59 €",Garaje Rape SL,,Una (1) semanaServicios,,
,Cambio de aceite y filtros del vehículo 8814 LCZ,"435,92 €","360,26 €",Garaje Rape SL,,Una (1) semanaServicios,,
,Cambio de aceite y filtros del vehículo 0171-KFL,"257,09 €","212,47 €",Garaje Rape SL,,Una (1) semanaServicios,,
,Cambio de aceite y filtros del vehículo 8828 LCZ,"196,84 €","162,68 €",Garaje Rape SL,,Una (1) semanaServicios,,
,Cambio de aceite y filtros del vehículo 8866 LCZ,"413,10 €","341,40 €",Garaje Rape SL,,Una (1) semanaServicios,,
,Cambio de aceite y filtros del vehículo 8817 LCZ,"413,10 €","341,40 €",Garaje Rape SL,,Una (1) semanaServicios,,
,Cambio de aceite y filtros del vehículo 8812 LCZ,"413,10 €","341,40 €",Garaje Rape SL,,Una (1) semanaServicios,,
,Cambio de aceite y filtros del vehículo 8813 LCZ,"438,10 €","362,07 €",Garaje Rape SL,,Una (1) semanaServicios,,
,Insercion de publicidad institucional en la revista VIESCA ASTUR,"1.573,00 €","1.300,00 €",Goreti Cadenas López,,31/12/2024,Servicio,
,"Suministro de Kits para la deteccion de anticuerpos del virus de la diarrea virica bovina (BVD) y para la 
deteccion de proteina prionica","15.950,70 €","13.182,40 €","IDEXX Laboratorios, S.L.,",,2 meses,Suministros,
,Suministro de Kits para la deteccion de antigenos del virus de la diarrea virica bovina (BVD-Ag),"17.993,33 €","14.870,52 €","IDEXX Laboratorios, S.L.,",,2 meses,Suministros,
